Position,Stichtag,Wert niedrig EUR,Wert hoch EUR,Quelle,Belegstatus,Streitpunkt,Offene Handlung
Girokonto,18.05.2026,18420.00,18420.00,NordBank,bestätigt,keiner,Auszug ablegen
Hausrat und Fahrzeug,18.05.2026,5800.00,9800.00,Aufstellung Alva,Bewertung fehlt,Zustand und Eigentum,Inventar und Fotos
Bestattung,nach Erbfall,-8900.00,-6200.00,Anzahlung / Angabe Alva,Schlussrechnung offen,Erforderlichkeit und Endbetrag,Rechnung anfordern
Pflegeausgleich Alva,2022-2026,-42000.00,0.00,Pflegekalender,nur nachträgliche Liste,Rechtsgrund und Doppelzeiten,Originalkalender / Pflegedienst
Resthof,22.08.2019,410000.00,820000.00,Notarvertrag / Maklerbrief,kein Stichtagsgutachten,Wert und Vorbehaltsrechte,Gutachten zwei Stichtage
Baugrundstück Bardowick,14.04.2021,228000.00,260000.00,Grundbuch / Verkauf 2023,Kaufpreisfluss offen,Unentgeltlichkeit,Urkunde 233/2021
Bundesanleihe 2032,18.05.2026,76000.00,82000.00,Bankauskunft,Bestand bestätigt,Kurswert,Stichtagskurs
Depotübertrag NordAgrar,17.07.2024,0.00,96000.00,Übertragungsauftrag,Kaufpreis nicht vermerkt,Zuwendung oder Gegenleistung,Depotauszüge
Zahlung Moritz,14.06.2019,-35000.00,0.00,Kontoauszug / Vermerk,Zahlung bestätigt,Anrechnungsbestimmung,Original Vermerk / Zeuge
Pflichtteilsquote,18.05.2026,0.25,0.25,Personenstand,"zwei Kinder, verwitwet",keiner,Registerabschriften ablegen
