Unterlage;Zeitraum oder Stichtag;Angefordert bei;Anforderung vom;Frist;Status;Klärungsbedarf
Notarieller Übertragungsvertrag nebst Anlagen;14.09.2016;Notariat Petersen;26.06.2026;10.07.2026;Auszug vorhanden;Nießbrauch, Rückforderungsrechte und Kostenübernahme vollständig lesen
Aktueller Grundbuchauszug Blatt 1842;01.07.2026;Grundbuchamt Niebüll;01.07.2026;offen;beantragt;Eigentum, Rang und fortbestehende Belastungen abgleichen
Verkehrswertgutachten Hausgrundstück;Erbfall 18.05.2026;Sachverständigenbüro Nordwert;30.06.2026;24.07.2026;beauftragt;Bodenwert, Gebäudezustand und Belastungsabschlag getrennt ausweisen
Depotübertragungsauftrag und Beratungsprotokoll;05.03.2021;Inselbank Sylt;25.06.2026;09.07.2026;Erinnerung versandt;Depotinhaber, Vollmacht und Auftraggeber feststellen
Depotauszüge vor und nach Übertragung;01.01.2021 bis 18.05.2026;Inselbank Sylt;25.06.2026;09.07.2026;teilweise eingegangen;Bestand, Ausschüttungen und Wiederanlage lückenlos nachvollziehen
Referenzkonto und Ertragsgutschriften;01.01.2021 bis 18.05.2026;Inselbank Sylt;28.06.2026;12.07.2026;offen;Empfänger der Dividenden und Veräußerungserlöse klären
Pflegekalender und Fahrtenaufstellung;01.01.2023 bis 18.05.2026;Karsten Martensen;27.06.2026;11.07.2026;angekündigt;Zeitangaben mit Pflegedienst und Arztterminen abgleichen
Rechnungen Dach, Heizung und Maler;2019 bis 2024;Karsten Martensen und Nachlassordner;27.06.2026;11.07.2026;uneinheitlich;Rechnungsempfänger, Zahler und Verwendungszweck erfassen
Erbschaftsteuerliche Anzeige und frühere Schenkungsmeldungen;2016 bis 2026;Steuerkanzlei Thomsen;29.06.2026;13.07.2026;Vollmacht angefordert;Wertansätze und gemeldete Gegenleistungen vergleichen
Kontenübersicht am Todestag;18.05.2026;Erben und kontoführende Banken;25.06.2026;09.07.2026;zwei Konten offen;Aktivnachlass und Zahlungsabflüsse nach dem Erbfall sichern
