OPOS-Liste Kreditoren Teutoburger Möbelwerk GmbH;Stand 30.11.2025;Anlage 3 zum Schreiben der Insolvenzverwalterin vom 11.05.2026;alle Beträge in EUR
Kreditor;Rechnung_Bescheid;Rechnungsdatum;Fälligkeit;Offener_Betrag;Status_am_30-11-2025
Holzwerkstoffe Detmold GmbH;RE 24-3318;12.11.2024;12.12.2024;18400,00;"fällig; dritte Mahnung 15.04.2025"
Furnierwerk Paderborn KG;RE 2025-0117;20.01.2025;19.02.2025;22150,00;"fällig; Klage angedroht 10.09.2025"
Werkzeugstahl Hagen GmbH;RE 2025-0812;10.06.2025;10.07.2025;11900,00;"fällig; Vollstreckungsbescheid 04.11.2025; GV-Auftrag"
Lackierwerk Senne GmbH;RE 2025-1044;15.07.2025;15.08.2025;14600,00;"fällig; Lieferungen eingestellt seit 01.10.2025"
Finanzamt Bielefeld-Innenstadt;USt-Voranmeldungen 07-10/2025;laufend;älteste Fälligkeit 11.08.2025;41300,00;"fällig; Stundungsantrag 14.11.2025 unbeschieden"
WestLease GmbH;Leasingraten 09-11/2025;laufend;älteste Fälligkeit 01.09.2025;19500,00;"fällig; Kündigung angedroht 21.11.2025"
Einzugsstelle BKK Westfalen-Mitte;GSV-Beiträge 09-11/2025;laufend;älteste Fälligkeit 26.09.2025;36900,00;"fällig; Mahnung 12.11.2025"
HebeFix Beschlagtechnik GmbH;RE-2025-4411;28.08.2025;27.09.2025;28700,00;"fällig; Mahnstufe 3; bezahlt 01.12.2025"
Spedition Brinkhege GmbH;RE 2025-2210;30.08.2025;30.09.2025;9800,00;"fällig; nur noch Barzahlung bei Abholung"
Grundstücksgesellschaft Eckendorfer Straße GbR;Miete Lagerhalle Ost 10-11/2025;laufend;älteste Fälligkeit 05.10.2025;22200,00;"fällig; Kündigungsandrohung 18.11.2025"
Energieversorgung Ostwestfalen AG;Abschläge 09-10/2025;laufend;älteste Fälligkeit 15.10.2025;12750,00;"fällig; Sperrandrohung 25.11.2025"
HebeFix Beschlagtechnik GmbH;RE-2025-4736;30.09.2025;30.10.2025;31200,00;"fällig; Ratenplan angefragt"
TempoWerk Personal GmbH;RE 2025-1911;05.11.2025;20.11.2025;23400,00;"fällig; Personalabzug angedroht"
Kartonagen Lippe KG;RE 2025-0977;10.11.2025;25.11.2025;8200,00;fällig
HebeFix Beschlagtechnik GmbH;RE-2025-5102;05.11.2025;05.12.2025;27500,00;noch nicht fällig am Stichtag
Summe fällig am 30.11.2025;;;;301000,00;
Summe gesamt einschließlich nicht fälliger Posten;;;;328500,00;
