Seriennummer;Kiste;Eingang 04.05 Uhr;Rundlauf mm;Isolation Nordhafen MOhm;Isolation Valnera MOhm;Korrosionslänge mm;Logger über 85 Prozent h;Fotobereich;Sicherungszustand
NH480-2203;3;07:51;0.05;18.4;nicht wiederholt;0;0.0;Q-4-001 bis -006;in Linie 2 montiert, nicht angeschlossen
NH480-2208;5;08:03;0.06;17.9;nicht wiederholt;0;0.0;Q-4-007 bis -012;in Linie 2 montiert, nicht angeschlossen
NH480-2210;6;08:17;0.04;19.1;nicht wiederholt;0;0.0;Q-4-013 bis -018;in Linie 2 montiert, nicht angeschlossen
NH480-2214;11;08:42;0.09;6.8;7.1;34;9.4;Q-4-019 bis -030;gesperrt in Lagerplatz Q-4
NH480-2217;14;09:06;0.12;1.9;2.1;118;10.1;Q-4-031 bis -044;gesperrt, Feuchtebeutel separat
NH480-2221;14;09:19;0.11;2.0;2.2;94;10.1;Q-4-045 bis -057;gesperrt, Folienriss markiert
NH480-2223;16;09:33;0.07;8.6;8.9;21;2.2;Q-4-058 bis -066;gesperrt in Lagerplatz Q-4
NH480-2226;17;09:47;0.05;16.7;nicht wiederholt;0;0.4;Q-4-067 bis -073;äußerlich trocken
NH480-2228;18;10:01;0.06;17.2;nicht wiederholt;0;0.3;Q-4-074 bis -080;äußerlich trocken
NH480-2230;18;10:16;0.05;18.0;nicht wiederholt;0;0.3;Q-4-081 bis -086;äußerlich trocken
