zeitraum_von,zeitraum_bis,kategorie,kontostand_drv,beleglage,streitpunkt
1982-09,1990-06,beschäftigung,Pflichtbeitragszeit,vollständig gemeldet,keiner
1990-07,1992-08,beschäftigung Nordstahl,ungeklärt,AG-Bescheinigung 12.07.1992; 3 Lohnabrechnungen; AOK-Mitgliedsbescheinigung 09.02.1994,Arbeitgebermeldung fehlt; Firma 1994 liquidiert; Einzugsstellen-Anfrage läuft
1992-09,2000-12,beschäftigung Fördewerft,Pflichtbeitragszeit,vollständig gemeldet,keiner
2001-01,2001-10,minijob Bäckerei Petersen,ungeklärt,8 Kontoauszüge je 610 DM; Weihnachtskarte; Zeugin Clausen,Entgeltmeldung fehlt; Mai und Juni ohne Beleg; rentenrechtliche Wirkung offen
2001-11,2009-10,beschäftigung Fördewerft,Pflichtbeitragszeit,vollständig gemeldet,keiner
2009-11,2010-02,pflege Vater,ungeklärt,Pflegekassenbescheinigung 03.05.2011,Pflegekasse zahlte erst ab 03/2010; Korrektur rückwirkend möglich?
2010-03,2011-04,pflege Vater,ungeklärt,Pflegekassenbescheinigung 03.05.2011,Beiträge laut Kasse abgeführt aber nicht im Konto; Zuordnungsfehler klären
2011-05,2014-07,beschäftigung Fördewerft,Pflichtbeitragszeit,vollständig gemeldet bis Betriebsschließung,keiner
2014-08,2015-03,arbeitslosigkeit,Anrechnungszeit,Alg-Bescheid 21.08.2014; Abmeldebestätigung 02.04.2015,als Anrechnungszeit statt Pflichtbeitragszeit gespeichert; Zählung für 45 Jahre prüfen
2015-04,2026-04,beschäftigung Nordische Schiffstechnik,Pflichtbeitragszeit,laufend gemeldet,keiner
