Monat;Monitor_Einspeisung_kWh;Eigenverbrauch_nicht_im_Export_kWh;Ausgewerteter_Ertrag_kWh;Stoerungshinweis;Quelle
2023-04;6650;410;7060;;Monitor_Export_03_10_2025
2023-05;7970;510;8480;Strang_2_zeitweise_unter_Vergleich;Monitor_Export_03_10_2025
2023-06;8940;590;9530;;Monitor_Export_03_10_2025
2023-07;7230;480;7710;;Monitor_Export_03_10_2025
2023-08;3920;290;4210;Ausfaelle_WR2_und_WR3;Monitor_Export_03_10_2025
2023-09;6470;410;6880;Sensortausch_04_09_2023;Monitor_Export_03_10_2025
2023-10;6910;450;7360;Fehler_T19_am_18_10_2023;Monitor_Export_03_10_2025
2023-11;5870;410;6280;Fehler_T19_am_11_11_2023;Monitor_Export_03_10_2025
2023-12;4450;140;4590;;Monitor_Export_03_10_2025
2024-01;1610;150;1760;;Zaehlerblatt_Kroll_14_10_2025
2024-02;2710;270;2980;;Zaehlerblatt_Kroll_14_10_2025
2024-03;5940;470;6410;;Zaehlerblatt_Kroll_14_10_2025
2024-04;7610;630;8240;;Zaehlerblatt_Kroll_14_10_2025
2024-05;8620;740;9360;;Zaehlerblatt_Kroll_14_10_2025
2024-06;9140;770;9910;;Zaehlerblatt_Kroll_14_10_2025
2024-07;9120;760;9880;;Zaehlerblatt_Kroll_14_10_2025
2024-08;7520;630;8150;;Zaehlerblatt_Kroll_14_10_2025
2024-09;6090;510;6600;;Zaehlerblatt_Kroll_14_10_2025
2024-10;4540;380;4920;;Zaehlerblatt_Kroll_14_10_2025
2024-11;2610;210;2820;;Zaehlerblatt_Kroll_14_10_2025
2024-12;1920;190;2110;;Zaehlerblatt_Kroll_14_10_2025
2025-01;1710;170;1880;;Monitor_Export_03_10_2025
2025-02;2890;290;3180;;Monitor_Export_03_10_2025
2025-03;6010;530;6540;;Monitor_Export_03_10_2025
2025-04;7850;670;8520;;Monitor_Export_03_10_2025
2025-05;9030;770;9800;;Monitor_Export_03_10_2025
2025-06;9680;820;10500;;Monitor_Export_03_10_2025
2025-07;9360;790;10150;;Monitor_Export_03_10_2025
2025-08;7010;580;7590;;Monitor_Export_03_10_2025
2025-09;5470;-460;5010;Korrektur_Doppelzaehlung_Einspeisung;Monitor_Export_03_10_2025
