position,betrag_eur,beantragter_träger,bewilligt_eur,streitpunkt
Aufmaß statische Kurzprüfung Werkplanung,620.00,Pflegekasse,0.00,notwendige Planungsleistung für die feste Rampe
Stahlrampe verzinkt rutschhemmender Belag,3980.00,Pflegekasse,0.00,funktional bessere und dauerhafte Lösung
Handlauf beidseitig Zwischenholm,940.00,Pflegekasse,0.00,Sturzrisiko und Gehstocknutzung
Fundament Pflasteranpassung Entwässerungsrinne,1680.00,Pflegekasse oder Sozialamt,0.00,bauliche Notwendigkeit für Wintertauglichkeit
Montage Anfahrt Entsorgung,700.00,Pflegekasse oder Sozialamt,0.00,ohne Montage keine nutzbare Maßnahme
Summe feste Rampe,7920.00,mehrere Träger,0.00,Angebot Teschner vom 14.05.2026
Mobile Teleskopschienen Alternative,1180.00,Pflegekasse,1180.00,nur mit Hilfsperson nutzbar
Gesetzlicher Höchstzuschuss 40 Absatz 4 SGB XI,4000.00,Pflegekasse,0.00,Höchstbetrag je Maßnahme
Rückstand Bescheid zu Höchstzuschuss,2820.00,Pflegekasse,0.00,4000 minus 1180
Eigenanteil bei Höchstzuschuss,3920.00,Mandantin oder Sozialamt,0.00,7920 minus 4000
Finanzierungslücke bei jetzigem Bescheid,6740.00,offen,0.00,7920 minus 1180
