datum,ereignis,frist_ablauf,status
2026-04-03,Unfallereignis Rampe 4,,erledigt
2026-04-08,Unfallanzeige Arbeitgeber an BG,,erledigt
2026-04-21,Operation Rotatorenmanschette,,erledigt
2026-05-06,Akteneinsicht BG gewährt,,erledigt
2026-05-28,Anhörungsschreiben BG,2026-06-11,erledigt
2026-06-18,Ablehnungsbescheid BG,2026-07-22,erledigt
2026-06-22,Zugang Ablehnungsbescheid,2026-07-22,erledigt
2026-07-20,Widerspruch eingelegt,,erledigt
2026-09-25,Widerspruchsbescheid BG,2026-10-25,erledigt
2026-10-20,Klageschrift Sozialgericht Trier,,erledigt
2026-11-25,Klageerwiderung BG,,erledigt
2027-01-08,Ambulante Untersuchung durch Sachverständigen,,erledigt
2027-01-14,Sachverständigengutachten vorgelegt,,erledigt
2027-03-15,Erwartete mündliche Verhandlung Sozialgericht Trier,,offen
2028-01-14,Empfohlene MdE-Nachuntersuchung,,offen
